bfly11_tmp(1)=-1024+j0, temp_bfly11(1)=-262144+j0, bfly11(1)=-1024+j0
bfly11_tmp(2)=0+j0, temp_bfly11(2)=0+j0, bfly11(2)=0+j0
bfly11_tmp(3)=0+j0, temp_bfly11(3)=0+j0, bfly11(3)=0+j0
bfly11_tmp(4)=0+j0, temp_bfly11(4)=0+j0, bfly11(4)=0+j0
bfly11_tmp(5)=0+j0, temp_bfly11(5)=0+j0, bfly11(5)=0+j0
bfly11_tmp(6)=0+j0, temp_bfly11(6)=0+j0, bfly11(6)=0+j0
bfly11_tmp(7)=0+j0, temp_bfly11(7)=0+j0, bfly11(7)=0+j0
bfly11_tmp(8)=0+j0, temp_bfly11(8)=0+j0, bfly11(8)=0+j0
bfly11_tmp(9)=0+j0, temp_bfly11(9)=0+j0, bfly11(9)=0+j0
bfly11_tmp(10)=0+j0, temp_bfly11(10)=0+j0, bfly11(10)=0+j0
bfly11_tmp(11)=0+j0, temp_bfly11(11)=0+j0, bfly11(11)=0+j0
bfly11_tmp(12)=0+j0, temp_bfly11(12)=0+j0, bfly11(12)=0+j0
bfly11_tmp(13)=0+j0, temp_bfly11(13)=0+j0, bfly11(13)=0+j0
bfly11_tmp(14)=0+j0, temp_bfly11(14)=0+j0, bfly11(14)=0+j0
bfly11_tmp(15)=0+j0, temp_bfly11(15)=0+j0, bfly11(15)=0+j0
bfly11_tmp(16)=0+j0, temp_bfly11(16)=0+j0, bfly11(16)=0+j0
bfly11_tmp(17)=-1024+j0, temp_bfly11(17)=-262144+j0, bfly11(17)=-1024+j0
bfly11_tmp(18)=0+j0, temp_bfly11(18)=0+j0, bfly11(18)=0+j0
bfly11_tmp(19)=0+j0, temp_bfly11(19)=0+j0, bfly11(19)=0+j0
bfly11_tmp(20)=0+j0, temp_bfly11(20)=0+j0, bfly11(20)=0+j0
bfly11_tmp(21)=0+j0, temp_bfly11(21)=0+j0, bfly11(21)=0+j0
bfly11_tmp(22)=0+j0, temp_bfly11(22)=0+j0, bfly11(22)=0+j0
bfly11_tmp(23)=0+j0, temp_bfly11(23)=0+j0, bfly11(23)=0+j0
bfly11_tmp(24)=0+j0, temp_bfly11(24)=0+j0, bfly11(24)=0+j0
bfly11_tmp(25)=0+j0, temp_bfly11(25)=0+j0, bfly11(25)=0+j0
bfly11_tmp(26)=0+j0, temp_bfly11(26)=0+j0, bfly11(26)=0+j0
bfly11_tmp(27)=0+j0, temp_bfly11(27)=0+j0, bfly11(27)=0+j0
bfly11_tmp(28)=0+j0, temp_bfly11(28)=0+j0, bfly11(28)=0+j0
bfly11_tmp(29)=0+j0, temp_bfly11(29)=0+j0, bfly11(29)=0+j0
bfly11_tmp(30)=0+j0, temp_bfly11(30)=0+j0, bfly11(30)=0+j0
bfly11_tmp(31)=0+j0, temp_bfly11(31)=0+j0, bfly11(31)=0+j0
bfly11_tmp(32)=0+j0, temp_bfly11(32)=0+j0, bfly11(32)=0+j0
bfly11_tmp(33)=-1024+j0, temp_bfly11(33)=-262144+j0, bfly11(33)=-1024+j0
bfly11_tmp(34)=0+j0, temp_bfly11(34)=0+j0, bfly11(34)=0+j0
bfly11_tmp(35)=0+j0, temp_bfly11(35)=0+j0, bfly11(35)=0+j0
bfly11_tmp(36)=0+j0, temp_bfly11(36)=0+j0, bfly11(36)=0+j0
bfly11_tmp(37)=0+j0, temp_bfly11(37)=0+j0, bfly11(37)=0+j0
bfly11_tmp(38)=0+j0, temp_bfly11(38)=0+j0, bfly11(38)=0+j0
bfly11_tmp(39)=0+j0, temp_bfly11(39)=0+j0, bfly11(39)=0+j0
bfly11_tmp(40)=0+j0, temp_bfly11(40)=0+j0, bfly11(40)=0+j0
bfly11_tmp(41)=0+j0, temp_bfly11(41)=0+j0, bfly11(41)=0+j0
bfly11_tmp(42)=0+j0, temp_bfly11(42)=0+j0, bfly11(42)=0+j0
bfly11_tmp(43)=0+j0, temp_bfly11(43)=0+j0, bfly11(43)=0+j0
bfly11_tmp(44)=0+j0, temp_bfly11(44)=0+j0, bfly11(44)=0+j0
bfly11_tmp(45)=0+j0, temp_bfly11(45)=0+j0, bfly11(45)=0+j0
bfly11_tmp(46)=0+j0, temp_bfly11(46)=0+j0, bfly11(46)=0+j0
bfly11_tmp(47)=0+j0, temp_bfly11(47)=0+j0, bfly11(47)=0+j0
bfly11_tmp(48)=0+j0, temp_bfly11(48)=0+j0, bfly11(48)=0+j0
bfly11_tmp(49)=-1024+j0, temp_bfly11(49)=-262144+j0, bfly11(49)=-1024+j0
bfly11_tmp(50)=0+j0, temp_bfly11(50)=0+j0, bfly11(50)=0+j0
bfly11_tmp(51)=0+j0, temp_bfly11(51)=0+j0, bfly11(51)=0+j0
bfly11_tmp(52)=0+j0, temp_bfly11(52)=0+j0, bfly11(52)=0+j0
bfly11_tmp(53)=0+j0, temp_bfly11(53)=0+j0, bfly11(53)=0+j0
bfly11_tmp(54)=0+j0, temp_bfly11(54)=0+j0, bfly11(54)=0+j0
bfly11_tmp(55)=0+j0, temp_bfly11(55)=0+j0, bfly11(55)=0+j0
bfly11_tmp(56)=0+j0, temp_bfly11(56)=0+j0, bfly11(56)=0+j0
bfly11_tmp(57)=0+j0, temp_bfly11(57)=0+j0, bfly11(57)=0+j0
bfly11_tmp(58)=0+j0, temp_bfly11(58)=0+j0, bfly11(58)=0+j0
bfly11_tmp(59)=0+j0, temp_bfly11(59)=0+j0, bfly11(59)=0+j0
bfly11_tmp(60)=0+j0, temp_bfly11(60)=0+j0, bfly11(60)=0+j0
bfly11_tmp(61)=0+j0, temp_bfly11(61)=0+j0, bfly11(61)=0+j0
bfly11_tmp(62)=0+j0, temp_bfly11(62)=0+j0, bfly11(62)=0+j0
bfly11_tmp(63)=0+j0, temp_bfly11(63)=0+j0, bfly11(63)=0+j0
bfly11_tmp(64)=0+j0, temp_bfly11(64)=0+j0, bfly11(64)=0+j0
bfly11_tmp(65)=-1024+j0, temp_bfly11(65)=-262144+j0, bfly11(65)=-1024+j0
bfly11_tmp(66)=0+j0, temp_bfly11(66)=0+j0, bfly11(66)=0+j0
bfly11_tmp(67)=0+j0, temp_bfly11(67)=0+j0, bfly11(67)=0+j0
bfly11_tmp(68)=0+j0, temp_bfly11(68)=0+j0, bfly11(68)=0+j0
bfly11_tmp(69)=0+j0, temp_bfly11(69)=0+j0, bfly11(69)=0+j0
bfly11_tmp(70)=0+j0, temp_bfly11(70)=0+j0, bfly11(70)=0+j0
bfly11_tmp(71)=0+j0, temp_bfly11(71)=0+j0, bfly11(71)=0+j0
bfly11_tmp(72)=0+j0, temp_bfly11(72)=0+j0, bfly11(72)=0+j0
bfly11_tmp(73)=0+j0, temp_bfly11(73)=0+j0, bfly11(73)=0+j0
bfly11_tmp(74)=0+j0, temp_bfly11(74)=0+j0, bfly11(74)=0+j0
bfly11_tmp(75)=0+j0, temp_bfly11(75)=0+j0, bfly11(75)=0+j0
bfly11_tmp(76)=0+j0, temp_bfly11(76)=0+j0, bfly11(76)=0+j0
bfly11_tmp(77)=0+j0, temp_bfly11(77)=0+j0, bfly11(77)=0+j0
bfly11_tmp(78)=0+j0, temp_bfly11(78)=0+j0, bfly11(78)=0+j0
bfly11_tmp(79)=0+j0, temp_bfly11(79)=0+j0, bfly11(79)=0+j0
bfly11_tmp(80)=0+j0, temp_bfly11(80)=0+j0, bfly11(80)=0+j0
bfly11_tmp(81)=-1024+j0, temp_bfly11(81)=-262144+j0, bfly11(81)=-1024+j0
bfly11_tmp(82)=0+j0, temp_bfly11(82)=0+j0, bfly11(82)=0+j0
bfly11_tmp(83)=0+j0, temp_bfly11(83)=0+j0, bfly11(83)=0+j0
bfly11_tmp(84)=0+j0, temp_bfly11(84)=0+j0, bfly11(84)=0+j0
bfly11_tmp(85)=0+j0, temp_bfly11(85)=0+j0, bfly11(85)=0+j0
bfly11_tmp(86)=0+j0, temp_bfly11(86)=0+j0, bfly11(86)=0+j0
bfly11_tmp(87)=0+j0, temp_bfly11(87)=0+j0, bfly11(87)=0+j0
bfly11_tmp(88)=0+j0, temp_bfly11(88)=0+j0, bfly11(88)=0+j0
bfly11_tmp(89)=0+j0, temp_bfly11(89)=0+j0, bfly11(89)=0+j0
bfly11_tmp(90)=0+j0, temp_bfly11(90)=0+j0, bfly11(90)=0+j0
bfly11_tmp(91)=0+j0, temp_bfly11(91)=0+j0, bfly11(91)=0+j0
bfly11_tmp(92)=0+j0, temp_bfly11(92)=0+j0, bfly11(92)=0+j0
bfly11_tmp(93)=0+j0, temp_bfly11(93)=0+j0, bfly11(93)=0+j0
bfly11_tmp(94)=0+j0, temp_bfly11(94)=0+j0, bfly11(94)=0+j0
bfly11_tmp(95)=0+j0, temp_bfly11(95)=0+j0, bfly11(95)=0+j0
bfly11_tmp(96)=0+j0, temp_bfly11(96)=0+j0, bfly11(96)=0+j0
bfly11_tmp(97)=-1024+j0, temp_bfly11(97)=-262144+j0, bfly11(97)=-1024+j0
bfly11_tmp(98)=0+j0, temp_bfly11(98)=0+j0, bfly11(98)=0+j0
bfly11_tmp(99)=0+j0, temp_bfly11(99)=0+j0, bfly11(99)=0+j0
bfly11_tmp(100)=0+j0, temp_bfly11(100)=0+j0, bfly11(100)=0+j0
bfly11_tmp(101)=0+j0, temp_bfly11(101)=0+j0, bfly11(101)=0+j0
bfly11_tmp(102)=0+j0, temp_bfly11(102)=0+j0, bfly11(102)=0+j0
bfly11_tmp(103)=0+j0, temp_bfly11(103)=0+j0, bfly11(103)=0+j0
bfly11_tmp(104)=0+j0, temp_bfly11(104)=0+j0, bfly11(104)=0+j0
bfly11_tmp(105)=0+j0, temp_bfly11(105)=0+j0, bfly11(105)=0+j0
bfly11_tmp(106)=0+j0, temp_bfly11(106)=0+j0, bfly11(106)=0+j0
bfly11_tmp(107)=0+j0, temp_bfly11(107)=0+j0, bfly11(107)=0+j0
bfly11_tmp(108)=0+j0, temp_bfly11(108)=0+j0, bfly11(108)=0+j0
bfly11_tmp(109)=0+j0, temp_bfly11(109)=0+j0, bfly11(109)=0+j0
bfly11_tmp(110)=0+j0, temp_bfly11(110)=0+j0, bfly11(110)=0+j0
bfly11_tmp(111)=0+j0, temp_bfly11(111)=0+j0, bfly11(111)=0+j0
bfly11_tmp(112)=0+j0, temp_bfly11(112)=0+j0, bfly11(112)=0+j0
bfly11_tmp(113)=-1024+j0, temp_bfly11(113)=-262144+j0, bfly11(113)=-1024+j0
bfly11_tmp(114)=0+j0, temp_bfly11(114)=0+j0, bfly11(114)=0+j0
bfly11_tmp(115)=0+j0, temp_bfly11(115)=0+j0, bfly11(115)=0+j0
bfly11_tmp(116)=0+j0, temp_bfly11(116)=0+j0, bfly11(116)=0+j0
bfly11_tmp(117)=0+j0, temp_bfly11(117)=0+j0, bfly11(117)=0+j0
bfly11_tmp(118)=0+j0, temp_bfly11(118)=0+j0, bfly11(118)=0+j0
bfly11_tmp(119)=0+j0, temp_bfly11(119)=0+j0, bfly11(119)=0+j0
bfly11_tmp(120)=0+j0, temp_bfly11(120)=0+j0, bfly11(120)=0+j0
bfly11_tmp(121)=0+j0, temp_bfly11(121)=0+j0, bfly11(121)=0+j0
bfly11_tmp(122)=0+j0, temp_bfly11(122)=0+j0, bfly11(122)=0+j0
bfly11_tmp(123)=0+j0, temp_bfly11(123)=0+j0, bfly11(123)=0+j0
bfly11_tmp(124)=0+j0, temp_bfly11(124)=0+j0, bfly11(124)=0+j0
bfly11_tmp(125)=0+j0, temp_bfly11(125)=0+j0, bfly11(125)=0+j0
bfly11_tmp(126)=0+j0, temp_bfly11(126)=0+j0, bfly11(126)=0+j0
bfly11_tmp(127)=0+j0, temp_bfly11(127)=0+j0, bfly11(127)=0+j0
bfly11_tmp(128)=0+j0, temp_bfly11(128)=0+j0, bfly11(128)=0+j0
bfly11_tmp(129)=-1024+j0, temp_bfly11(129)=-262144+j0, bfly11(129)=-1024+j0
bfly11_tmp(130)=0+j0, temp_bfly11(130)=0+j0, bfly11(130)=0+j0
bfly11_tmp(131)=0+j0, temp_bfly11(131)=0+j0, bfly11(131)=0+j0
bfly11_tmp(132)=0+j0, temp_bfly11(132)=0+j0, bfly11(132)=0+j0
bfly11_tmp(133)=0+j0, temp_bfly11(133)=0+j0, bfly11(133)=0+j0
bfly11_tmp(134)=0+j0, temp_bfly11(134)=0+j0, bfly11(134)=0+j0
bfly11_tmp(135)=0+j0, temp_bfly11(135)=0+j0, bfly11(135)=0+j0
bfly11_tmp(136)=0+j0, temp_bfly11(136)=0+j0, bfly11(136)=0+j0
bfly11_tmp(137)=0+j0, temp_bfly11(137)=0+j0, bfly11(137)=0+j0
bfly11_tmp(138)=0+j0, temp_bfly11(138)=0+j0, bfly11(138)=0+j0
bfly11_tmp(139)=0+j0, temp_bfly11(139)=0+j0, bfly11(139)=0+j0
bfly11_tmp(140)=0+j0, temp_bfly11(140)=0+j0, bfly11(140)=0+j0
bfly11_tmp(141)=0+j0, temp_bfly11(141)=0+j0, bfly11(141)=0+j0
bfly11_tmp(142)=0+j0, temp_bfly11(142)=0+j0, bfly11(142)=0+j0
bfly11_tmp(143)=0+j0, temp_bfly11(143)=0+j0, bfly11(143)=0+j0
bfly11_tmp(144)=0+j0, temp_bfly11(144)=0+j0, bfly11(144)=0+j0
bfly11_tmp(145)=-1024+j0, temp_bfly11(145)=-262144+j0, bfly11(145)=-1024+j0
bfly11_tmp(146)=0+j0, temp_bfly11(146)=0+j0, bfly11(146)=0+j0
bfly11_tmp(147)=0+j0, temp_bfly11(147)=0+j0, bfly11(147)=0+j0
bfly11_tmp(148)=0+j0, temp_bfly11(148)=0+j0, bfly11(148)=0+j0
bfly11_tmp(149)=0+j0, temp_bfly11(149)=0+j0, bfly11(149)=0+j0
bfly11_tmp(150)=0+j0, temp_bfly11(150)=0+j0, bfly11(150)=0+j0
bfly11_tmp(151)=0+j0, temp_bfly11(151)=0+j0, bfly11(151)=0+j0
bfly11_tmp(152)=0+j0, temp_bfly11(152)=0+j0, bfly11(152)=0+j0
bfly11_tmp(153)=0+j0, temp_bfly11(153)=0+j0, bfly11(153)=0+j0
bfly11_tmp(154)=0+j0, temp_bfly11(154)=0+j0, bfly11(154)=0+j0
bfly11_tmp(155)=0+j0, temp_bfly11(155)=0+j0, bfly11(155)=0+j0
bfly11_tmp(156)=0+j0, temp_bfly11(156)=0+j0, bfly11(156)=0+j0
bfly11_tmp(157)=0+j0, temp_bfly11(157)=0+j0, bfly11(157)=0+j0
bfly11_tmp(158)=0+j0, temp_bfly11(158)=0+j0, bfly11(158)=0+j0
bfly11_tmp(159)=0+j0, temp_bfly11(159)=0+j0, bfly11(159)=0+j0
bfly11_tmp(160)=0+j0, temp_bfly11(160)=0+j0, bfly11(160)=0+j0
bfly11_tmp(161)=-1024+j0, temp_bfly11(161)=-262144+j0, bfly11(161)=-1024+j0
bfly11_tmp(162)=0+j0, temp_bfly11(162)=0+j0, bfly11(162)=0+j0
bfly11_tmp(163)=0+j0, temp_bfly11(163)=0+j0, bfly11(163)=0+j0
bfly11_tmp(164)=0+j0, temp_bfly11(164)=0+j0, bfly11(164)=0+j0
bfly11_tmp(165)=0+j0, temp_bfly11(165)=0+j0, bfly11(165)=0+j0
bfly11_tmp(166)=0+j0, temp_bfly11(166)=0+j0, bfly11(166)=0+j0
bfly11_tmp(167)=0+j0, temp_bfly11(167)=0+j0, bfly11(167)=0+j0
bfly11_tmp(168)=0+j0, temp_bfly11(168)=0+j0, bfly11(168)=0+j0
bfly11_tmp(169)=0+j0, temp_bfly11(169)=0+j0, bfly11(169)=0+j0
