twf_m0(1)=128+j0, pre_bfly02(1)=-128+j0, index1_re(1)=15, index1_im(1)=15, bfly02(1)=-1024+j0
twf_m0(2)=128+j0, pre_bfly02(2)=0+j0, index1_re(2)=15, index1_im(2)=15, bfly02(2)=0+j0
twf_m0(3)=128+j0, pre_bfly02(3)=0+j0, index1_re(3)=15, index1_im(3)=15, bfly02(3)=0+j0
twf_m0(4)=128+j0, pre_bfly02(4)=0+j0, index1_re(4)=15, index1_im(4)=15, bfly02(4)=0+j0
twf_m0(5)=128+j0, pre_bfly02(5)=0+j0, index1_re(5)=15, index1_im(5)=15, bfly02(5)=0+j0
twf_m0(6)=128+j0, pre_bfly02(6)=0+j0, index1_re(6)=15, index1_im(6)=15, bfly02(6)=0+j0
twf_m0(7)=128+j0, pre_bfly02(7)=0+j0, index1_re(7)=15, index1_im(7)=15, bfly02(7)=0+j0
twf_m0(8)=128+j0, pre_bfly02(8)=0+j0, index1_re(8)=15, index1_im(8)=15, bfly02(8)=0+j0
twf_m0(9)=128+j0, pre_bfly02(9)=0+j0, index1_re(9)=15, index1_im(9)=15, bfly02(9)=0+j0
twf_m0(10)=128+j0, pre_bfly02(10)=0+j0, index1_re(10)=15, index1_im(10)=15, bfly02(10)=0+j0
twf_m0(11)=128+j0, pre_bfly02(11)=0+j0, index1_re(11)=15, index1_im(11)=15, bfly02(11)=0+j0
twf_m0(12)=128+j0, pre_bfly02(12)=0+j0, index1_re(12)=15, index1_im(12)=15, bfly02(12)=0+j0
twf_m0(13)=128+j0, pre_bfly02(13)=0+j0, index1_re(13)=15, index1_im(13)=15, bfly02(13)=0+j0
twf_m0(14)=128+j0, pre_bfly02(14)=0+j0, index1_re(14)=15, index1_im(14)=15, bfly02(14)=0+j0
twf_m0(15)=128+j0, pre_bfly02(15)=0+j0, index1_re(15)=15, index1_im(15)=15, bfly02(15)=0+j0
twf_m0(16)=128+j0, pre_bfly02(16)=0+j0, index1_re(16)=15, index1_im(16)=15, bfly02(16)=0+j0
twf_m0(17)=128+j0, pre_bfly02(17)=0+j0, index1_re(17)=15, index1_im(17)=15, bfly02(17)=0+j0
twf_m0(18)=128+j0, pre_bfly02(18)=0+j0, index1_re(18)=15, index1_im(18)=15, bfly02(18)=0+j0
twf_m0(19)=128+j0, pre_bfly02(19)=0+j0, index1_re(19)=15, index1_im(19)=15, bfly02(19)=0+j0
twf_m0(20)=128+j0, pre_bfly02(20)=0+j0, index1_re(20)=15, index1_im(20)=15, bfly02(20)=0+j0
twf_m0(21)=128+j0, pre_bfly02(21)=0+j0, index1_re(21)=15, index1_im(21)=15, bfly02(21)=0+j0
twf_m0(22)=128+j0, pre_bfly02(22)=0+j0, index1_re(22)=15, index1_im(22)=15, bfly02(22)=0+j0
twf_m0(23)=128+j0, pre_bfly02(23)=0+j0, index1_re(23)=15, index1_im(23)=15, bfly02(23)=0+j0
twf_m0(24)=128+j0, pre_bfly02(24)=0+j0, index1_re(24)=15, index1_im(24)=15, bfly02(24)=0+j0
twf_m0(25)=128+j0, pre_bfly02(25)=0+j0, index1_re(25)=15, index1_im(25)=15, bfly02(25)=0+j0
twf_m0(26)=128+j0, pre_bfly02(26)=0+j0, index1_re(26)=15, index1_im(26)=15, bfly02(26)=0+j0
twf_m0(27)=128+j0, pre_bfly02(27)=0+j0, index1_re(27)=15, index1_im(27)=15, bfly02(27)=0+j0
twf_m0(28)=128+j0, pre_bfly02(28)=0+j0, index1_re(28)=15, index1_im(28)=15, bfly02(28)=0+j0
twf_m0(29)=128+j0, pre_bfly02(29)=0+j0, index1_re(29)=15, index1_im(29)=15, bfly02(29)=0+j0
twf_m0(30)=128+j0, pre_bfly02(30)=0+j0, index1_re(30)=15, index1_im(30)=15, bfly02(30)=0+j0
twf_m0(31)=128+j0, pre_bfly02(31)=0+j0, index1_re(31)=15, index1_im(31)=15, bfly02(31)=0+j0
twf_m0(32)=128+j0, pre_bfly02(32)=0+j0, index1_re(32)=15, index1_im(32)=15, bfly02(32)=0+j0
twf_m0(33)=128+j0, pre_bfly02(33)=0+j0, index1_re(33)=15, index1_im(33)=15, bfly02(33)=0+j0
twf_m0(34)=128+j0, pre_bfly02(34)=0+j0, index1_re(34)=15, index1_im(34)=15, bfly02(34)=0+j0
twf_m0(35)=128+j0, pre_bfly02(35)=0+j0, index1_re(35)=15, index1_im(35)=15, bfly02(35)=0+j0
twf_m0(36)=128+j0, pre_bfly02(36)=0+j0, index1_re(36)=15, index1_im(36)=15, bfly02(36)=0+j0
twf_m0(37)=128+j0, pre_bfly02(37)=0+j0, index1_re(37)=15, index1_im(37)=15, bfly02(37)=0+j0
twf_m0(38)=128+j0, pre_bfly02(38)=0+j0, index1_re(38)=15, index1_im(38)=15, bfly02(38)=0+j0
twf_m0(39)=128+j0, pre_bfly02(39)=0+j0, index1_re(39)=15, index1_im(39)=15, bfly02(39)=0+j0
twf_m0(40)=128+j0, pre_bfly02(40)=0+j0, index1_re(40)=15, index1_im(40)=15, bfly02(40)=0+j0
twf_m0(41)=128+j0, pre_bfly02(41)=0+j0, index1_re(41)=15, index1_im(41)=15, bfly02(41)=0+j0
twf_m0(42)=128+j0, pre_bfly02(42)=0+j0, index1_re(42)=15, index1_im(42)=15, bfly02(42)=0+j0
twf_m0(43)=128+j0, pre_bfly02(43)=0+j0, index1_re(43)=15, index1_im(43)=15, bfly02(43)=0+j0
twf_m0(44)=128+j0, pre_bfly02(44)=0+j0, index1_re(44)=15, index1_im(44)=15, bfly02(44)=0+j0
twf_m0(45)=128+j0, pre_bfly02(45)=0+j0, index1_re(45)=15, index1_im(45)=15, bfly02(45)=0+j0
twf_m0(46)=128+j0, pre_bfly02(46)=0+j0, index1_re(46)=15, index1_im(46)=15, bfly02(46)=0+j0
twf_m0(47)=128+j0, pre_bfly02(47)=0+j0, index1_re(47)=15, index1_im(47)=15, bfly02(47)=0+j0
twf_m0(48)=128+j0, pre_bfly02(48)=0+j0, index1_re(48)=15, index1_im(48)=15, bfly02(48)=0+j0
twf_m0(49)=128+j0, pre_bfly02(49)=0+j0, index1_re(49)=15, index1_im(49)=15, bfly02(49)=0+j0
twf_m0(50)=128+j0, pre_bfly02(50)=0+j0, index1_re(50)=15, index1_im(50)=15, bfly02(50)=0+j0
twf_m0(51)=128+j0, pre_bfly02(51)=0+j0, index1_re(51)=15, index1_im(51)=15, bfly02(51)=0+j0
twf_m0(52)=128+j0, pre_bfly02(52)=0+j0, index1_re(52)=15, index1_im(52)=15, bfly02(52)=0+j0
twf_m0(53)=128+j0, pre_bfly02(53)=0+j0, index1_re(53)=15, index1_im(53)=15, bfly02(53)=0+j0
twf_m0(54)=128+j0, pre_bfly02(54)=0+j0, index1_re(54)=15, index1_im(54)=15, bfly02(54)=0+j0
twf_m0(55)=128+j0, pre_bfly02(55)=0+j0, index1_re(55)=15, index1_im(55)=15, bfly02(55)=0+j0
twf_m0(56)=128+j0, pre_bfly02(56)=0+j0, index1_re(56)=15, index1_im(56)=15, bfly02(56)=0+j0
twf_m0(57)=128+j0, pre_bfly02(57)=0+j0, index1_re(57)=15, index1_im(57)=15, bfly02(57)=0+j0
twf_m0(58)=128+j0, pre_bfly02(58)=0+j0, index1_re(58)=15, index1_im(58)=15, bfly02(58)=0+j0
twf_m0(59)=128+j0, pre_bfly02(59)=0+j0, index1_re(59)=15, index1_im(59)=15, bfly02(59)=0+j0
twf_m0(60)=128+j0, pre_bfly02(60)=0+j0, index1_re(60)=15, index1_im(60)=15, bfly02(60)=0+j0
twf_m0(61)=128+j0, pre_bfly02(61)=0+j0, index1_re(61)=15, index1_im(61)=15, bfly02(61)=0+j0
twf_m0(62)=128+j0, pre_bfly02(62)=0+j0, index1_re(62)=15, index1_im(62)=15, bfly02(62)=0+j0
twf_m0(63)=128+j0, pre_bfly02(63)=0+j0, index1_re(63)=15, index1_im(63)=15, bfly02(63)=0+j0
twf_m0(64)=128+j0, pre_bfly02(64)=0+j0, index1_re(64)=15, index1_im(64)=15, bfly02(64)=0+j0
twf_m0(65)=128+j0, pre_bfly02(65)=-128+j0, index1_re(65)=15, index1_im(65)=15, bfly02(65)=-1024+j0
twf_m0(66)=128+j-6, pre_bfly02(66)=0+j0, index1_re(66)=15, index1_im(66)=15, bfly02(66)=0+j0
twf_m0(67)=127+j-13, pre_bfly02(67)=0+j0, index1_re(67)=15, index1_im(67)=15, bfly02(67)=0+j0
twf_m0(68)=127+j-19, pre_bfly02(68)=0+j0, index1_re(68)=15, index1_im(68)=15, bfly02(68)=0+j0
twf_m0(69)=126+j-25, pre_bfly02(69)=0+j0, index1_re(69)=15, index1_im(69)=15, bfly02(69)=0+j0
twf_m0(70)=124+j-31, pre_bfly02(70)=0+j0, index1_re(70)=15, index1_im(70)=15, bfly02(70)=0+j0
