pre_bfly12(1)=-131072+j0, index2_re(1)=7, index2_im(1)=7, bfly12(1)=-2048+j0
pre_bfly12(2)=0+j0, index2_re(2)=7, index2_im(2)=7, bfly12(2)=0+j0
pre_bfly12(3)=0+j0, index2_re(3)=7, index2_im(3)=7, bfly12(3)=0+j0
pre_bfly12(4)=0+j0, index2_re(4)=7, index2_im(4)=7, bfly12(4)=0+j0
pre_bfly12(5)=0+j0, index2_re(5)=7, index2_im(5)=7, bfly12(5)=0+j0
pre_bfly12(6)=0+j0, index2_re(6)=7, index2_im(6)=7, bfly12(6)=0+j0
pre_bfly12(7)=0+j0, index2_re(7)=7, index2_im(7)=7, bfly12(7)=0+j0
pre_bfly12(8)=0+j0, index2_re(8)=7, index2_im(8)=7, bfly12(8)=0+j0
pre_bfly12(9)=-131072+j0, index2_re(9)=7, index2_im(9)=7, bfly12(9)=-2048+j0
pre_bfly12(10)=0+j0, index2_re(10)=7, index2_im(10)=7, bfly12(10)=0+j0
pre_bfly12(11)=0+j0, index2_re(11)=7, index2_im(11)=7, bfly12(11)=0+j0
pre_bfly12(12)=0+j0, index2_re(12)=7, index2_im(12)=7, bfly12(12)=0+j0
pre_bfly12(13)=0+j0, index2_re(13)=7, index2_im(13)=7, bfly12(13)=0+j0
pre_bfly12(14)=0+j0, index2_re(14)=7, index2_im(14)=7, bfly12(14)=0+j0
pre_bfly12(15)=0+j0, index2_re(15)=7, index2_im(15)=7, bfly12(15)=0+j0
pre_bfly12(16)=0+j0, index2_re(16)=7, index2_im(16)=7, bfly12(16)=0+j0
pre_bfly12(17)=-131072+j0, index2_re(17)=7, index2_im(17)=7, bfly12(17)=-2048+j0
pre_bfly12(18)=0+j0, index2_re(18)=7, index2_im(18)=7, bfly12(18)=0+j0
pre_bfly12(19)=0+j0, index2_re(19)=7, index2_im(19)=7, bfly12(19)=0+j0
pre_bfly12(20)=0+j0, index2_re(20)=7, index2_im(20)=7, bfly12(20)=0+j0
pre_bfly12(21)=0+j0, index2_re(21)=7, index2_im(21)=7, bfly12(21)=0+j0
pre_bfly12(22)=0+j0, index2_re(22)=7, index2_im(22)=7, bfly12(22)=0+j0
pre_bfly12(23)=0+j0, index2_re(23)=7, index2_im(23)=7, bfly12(23)=0+j0
pre_bfly12(24)=0+j0, index2_re(24)=7, index2_im(24)=7, bfly12(24)=0+j0
pre_bfly12(25)=-131072+j0, index2_re(25)=7, index2_im(25)=7, bfly12(25)=-2048+j0
pre_bfly12(26)=0+j0, index2_re(26)=7, index2_im(26)=7, bfly12(26)=0+j0
pre_bfly12(27)=0+j0, index2_re(27)=7, index2_im(27)=7, bfly12(27)=0+j0
pre_bfly12(28)=0+j0, index2_re(28)=7, index2_im(28)=7, bfly12(28)=0+j0
pre_bfly12(29)=0+j0, index2_re(29)=7, index2_im(29)=7, bfly12(29)=0+j0
pre_bfly12(30)=0+j0, index2_re(30)=7, index2_im(30)=7, bfly12(30)=0+j0
pre_bfly12(31)=0+j0, index2_re(31)=7, index2_im(31)=7, bfly12(31)=0+j0
pre_bfly12(32)=0+j0, index2_re(32)=7, index2_im(32)=7, bfly12(32)=0+j0
pre_bfly12(33)=-131072+j0, index2_re(33)=7, index2_im(33)=7, bfly12(33)=-2048+j0
pre_bfly12(34)=0+j0, index2_re(34)=7, index2_im(34)=7, bfly12(34)=0+j0
pre_bfly12(35)=0+j0, index2_re(35)=7, index2_im(35)=7, bfly12(35)=0+j0
pre_bfly12(36)=0+j0, index2_re(36)=7, index2_im(36)=7, bfly12(36)=0+j0
pre_bfly12(37)=0+j0, index2_re(37)=7, index2_im(37)=7, bfly12(37)=0+j0
pre_bfly12(38)=0+j0, index2_re(38)=7, index2_im(38)=7, bfly12(38)=0+j0
pre_bfly12(39)=0+j0, index2_re(39)=7, index2_im(39)=7, bfly12(39)=0+j0
pre_bfly12(40)=0+j0, index2_re(40)=7, index2_im(40)=7, bfly12(40)=0+j0
pre_bfly12(41)=-131072+j0, index2_re(41)=7, index2_im(41)=7, bfly12(41)=-2048+j0
pre_bfly12(42)=0+j0, index2_re(42)=7, index2_im(42)=7, bfly12(42)=0+j0
pre_bfly12(43)=0+j0, index2_re(43)=7, index2_im(43)=7, bfly12(43)=0+j0
pre_bfly12(44)=0+j0, index2_re(44)=7, index2_im(44)=7, bfly12(44)=0+j0
pre_bfly12(45)=0+j0, index2_re(45)=7, index2_im(45)=7, bfly12(45)=0+j0
pre_bfly12(46)=0+j0, index2_re(46)=7, index2_im(46)=7, bfly12(46)=0+j0
pre_bfly12(47)=0+j0, index2_re(47)=7, index2_im(47)=7, bfly12(47)=0+j0
pre_bfly12(48)=0+j0, index2_re(48)=7, index2_im(48)=7, bfly12(48)=0+j0
pre_bfly12(49)=-131072+j0, index2_re(49)=7, index2_im(49)=7, bfly12(49)=-2048+j0
pre_bfly12(50)=0+j0, index2_re(50)=7, index2_im(50)=7, bfly12(50)=0+j0
pre_bfly12(51)=0+j0, index2_re(51)=7, index2_im(51)=7, bfly12(51)=0+j0
pre_bfly12(52)=0+j0, index2_re(52)=7, index2_im(52)=7, bfly12(52)=0+j0
pre_bfly12(53)=0+j0, index2_re(53)=7, index2_im(53)=7, bfly12(53)=0+j0
pre_bfly12(54)=0+j0, index2_re(54)=7, index2_im(54)=7, bfly12(54)=0+j0
pre_bfly12(55)=0+j0, index2_re(55)=7, index2_im(55)=7, bfly12(55)=0+j0
pre_bfly12(56)=0+j0, index2_re(56)=7, index2_im(56)=7, bfly12(56)=0+j0
pre_bfly12(57)=-131072+j0, index2_re(57)=7, index2_im(57)=7, bfly12(57)=-2048+j0
pre_bfly12(58)=0+j0, index2_re(58)=7, index2_im(58)=7, bfly12(58)=0+j0
pre_bfly12(59)=0+j0, index2_re(59)=7, index2_im(59)=7, bfly12(59)=0+j0
pre_bfly12(60)=0+j0, index2_re(60)=7, index2_im(60)=7, bfly12(60)=0+j0
pre_bfly12(61)=0+j0, index2_re(61)=7, index2_im(61)=7, bfly12(61)=0+j0
pre_bfly12(62)=0+j0, index2_re(62)=7, index2_im(62)=7, bfly12(62)=0+j0
pre_bfly12(63)=0+j0, index2_re(63)=7, index2_im(63)=7, bfly12(63)=0+j0
pre_bfly12(64)=0+j0, index2_re(64)=7, index2_im(64)=7, bfly12(64)=0+j0
pre_bfly12(65)=-131072+j0, index2_re(65)=7, index2_im(65)=7, bfly12(65)=-2048+j0
pre_bfly12(66)=0+j0, index2_re(66)=7, index2_im(66)=7, bfly12(66)=0+j0
pre_bfly12(67)=0+j0, index2_re(67)=7, index2_im(67)=7, bfly12(67)=0+j0
pre_bfly12(68)=0+j0, index2_re(68)=7, index2_im(68)=7, bfly12(68)=0+j0
pre_bfly12(69)=0+j0, index2_re(69)=7, index2_im(69)=7, bfly12(69)=0+j0
pre_bfly12(70)=0+j0, index2_re(70)=7, index2_im(70)=7, bfly12(70)=0+j0
pre_bfly12(71)=0+j0, index2_re(71)=7, index2_im(71)=7, bfly12(71)=0+j0
pre_bfly12(72)=0+j0, index2_re(72)=7, index2_im(72)=7, bfly12(72)=0+j0
pre_bfly12(73)=-131072+j0, index2_re(73)=7, index2_im(73)=7, bfly12(73)=-2048+j0
pre_bfly12(74)=0+j0, index2_re(74)=7, index2_im(74)=7, bfly12(74)=0+j0
pre_bfly12(75)=0+j0, index2_re(75)=7, index2_im(75)=7, bfly12(75)=0+j0
pre_bfly12(76)=0+j0, index2_re(76)=7, index2_im(76)=7, bfly12(76)=0+j0
pre_bfly12(77)=0+j0, index2_re(77)=7, index2_im(77)=7, bfly12(77)=0+j0
pre_bfly12(78)=0+j0, index2_re(78)=7, index2_im(78)=7, bfly12(78)=0+j0
pre_bfly12(79)=0+j0, index2_re(79)=7, index2_im(79)=7, bfly12(79)=0+j0
pre_bfly12(80)=0+j0, index2_re(80)=7, index2_im(80)=7, bfly12(80)=0+j0
pre_bfly12(81)=-131072+j0, index2_re(81)=7, index2_im(81)=7, bfly12(81)=-2048+j0
pre_bfly12(82)=0+j0, index2_re(82)=7, index2_im(82)=7, bfly12(82)=0+j0
pre_bfly12(83)=0+j0, index2_re(83)=7, index2_im(83)=7, bfly12(83)=0+j0
pre_bfly12(84)=0+j0, index2_re(84)=7, index2_im(84)=7, bfly12(84)=0+j0
pre_bfly12(85)=0+j0, index2_re(85)=7, index2_im(85)=7, bfly12(85)=0+j0
pre_bfly12(86)=0+j0, index2_re(86)=7, index2_im(86)=7, bfly12(86)=0+j0
pre_bfly12(87)=0+j0, index2_re(87)=7, index2_im(87)=7, bfly12(87)=0+j0
pre_bfly12(88)=0+j0, index2_re(88)=7, index2_im(88)=7, bfly12(88)=0+j0
pre_bfly12(89)=-131072+j0, index2_re(89)=7, index2_im(89)=7, bfly12(89)=-2048+j0
pre_bfly12(90)=0+j0, index2_re(90)=7, index2_im(90)=7, bfly12(90)=0+j0
pre_bfly12(91)=0+j0, index2_re(91)=7, index2_im(91)=7, bfly12(91)=0+j0
pre_bfly12(92)=0+j0, index2_re(92)=7, index2_im(92)=7, bfly12(92)=0+j0
pre_bfly12(93)=0+j0, index2_re(93)=7, index2_im(93)=7, bfly12(93)=0+j0
pre_bfly12(94)=0+j0, index2_re(94)=7, index2_im(94)=7, bfly12(94)=0+j0
pre_bfly12(95)=0+j0, index2_re(95)=7, index2_im(95)=7, bfly12(95)=0+j0
pre_bfly12(96)=0+j0, index2_re(96)=7, index2_im(96)=7, bfly12(96)=0+j0
pre_bfly12(97)=-131072+j0, index2_re(97)=7, index2_im(97)=7, bfly12(97)=-2048+j0
pre_bfly12(98)=0+j0, index2_re(98)=7, index2_im(98)=7, bfly12(98)=0+j0
pre_bfly12(99)=0+j0, index2_re(99)=7, index2_im(99)=7, bfly12(99)=0+j0
pre_bfly12(100)=0+j0, index2_re(100)=7, index2_im(100)=7, bfly12(100)=0+j0
pre_bfly12(101)=0+j0, index2_re(101)=7, index2_im(101)=7, bfly12(101)=0+j0
pre_bfly12(102)=0+j0, index2_re(102)=7, index2_im(102)=7, bfly12(102)=0+j0
pre_bfly12(103)=0+j0, index2_re(103)=7, index2_im(103)=7, bfly12(103)=0+j0
pre_bfly12(104)=0+j0, index2_re(104)=7, index2_im(104)=7, bfly12(104)=0+j0
pre_bfly12(105)=-131072+j0, index2_re(105)=7, index2_im(105)=7, bfly12(105)=-2048+j0
pre_bfly12(106)=0+j0, index2_re(106)=7, index2_im(106)=7, bfly12(106)=0+j0
pre_bfly12(107)=0+j0, index2_re(107)=7, index2_im(107)=7, bfly12(107)=0+j0
pre_bfly12(108)=0+j0, index2_re(108)=7, index2_im(108)=7, bfly12(108)=0+j0
pre_bfly12(109)=0+j0, index2_re(109)=7, index2_im(109)=7, bfly12(109)=0+j0
pre_bfly12(110)=0+j0, index2_re(110)=7, index2_im(110)=7, bfly12(110)=0+j0
pre_bfly12(111)=0+j0, index2_re(111)=7, index2_im(111)=7, bfly12(111)=0+j0
pre_bfly12(112)=0+j0, index2_re(112)=7, index2_im(112)=7, bfly12(112)=0+j0
pre_bfly12(113)=-131072+j0, index2_re(113)=7, index2_im(113)=7, bfly12(113)=-2048+j0
pre_bfly12(114)=0+j0, index2_re(114)=7, index2_im(114)=7, bfly12(114)=0+j0
pre_bfly12(115)=0+j0, index2_re(115)=7, index2_im(115)=7, bfly12(115)=0+j0
pre_bfly12(116)=0+j0, index2_re(116)=7, index2_im(116)=7, bfly12(116)=0+j0
pre_bfly12(117)=0+j0, index2_re(117)=7, index2_im(117)=7, bfly12(117)=0+j0
pre_bfly12(118)=0+j0, index2_re(118)=7, index2_im(118)=7, bfly12(118)=0+j0
pre_bfly12(119)=0+j0, index2_re(119)=7, index2_im(119)=7, bfly12(119)=0+j0
pre_bfly12(120)=0+j0, index2_re(120)=7, index2_im(120)=7, bfly12(120)=0+j0
pre_bfly12(121)=-131072+j0, index2_re(121)=7, index2_im(121)=7, bfly12(121)=-2048+j0
pre_bfly12(122)=0+j0, index2_re(122)=7, index2_im(122)=7, bfly12(122)=0+j0
pre_bfly12(123)=0+j0, index2_re(123)=7, index2_im(123)=7, bfly12(123)=0+j0
pre_bfly12(124)=0+j0, index2_re(124)=7, index2_im(124)=7, bfly12(124)=0+j0
pre_bfly12(125)=0+j0, index2_re(125)=7, index2_im(125)=7, bfly12(125)=0+j0
pre_bfly12(126)=0+j0, index2_re(126)=7, index2_im(126)=7, bfly12(126)=0+j0
pre_bfly12(127)=0+j0, index2_re(127)=7, index2_im(127)=7, bfly12(127)=0+j0
pre_bfly12(128)=0+j0, index2_re(128)=7, index2_im(128)=7, bfly12(128)=0+j0
pre_bfly12(129)=-131072+j0, index2_re(129)=7, index2_im(129)=7, bfly12(129)=-2048+j0
pre_bfly12(130)=0+j0, index2_re(130)=7, index2_im(130)=7, bfly12(130)=0+j0
pre_bfly12(131)=0+j0, index2_re(131)=7, index2_im(131)=7, bfly12(131)=0+j0
pre_bfly12(132)=0+j0, index2_re(132)=7, index2_im(132)=7, bfly12(132)=0+j0
pre_bfly12(133)=0+j0, index2_re(133)=7, index2_im(133)=7, bfly12(133)=0+j0
pre_bfly12(134)=0+j0, index2_re(134)=7, index2_im(134)=7, bfly12(134)=0+j0
pre_bfly12(135)=0+j0, index2_re(135)=7, index2_im(135)=7, bfly12(135)=0+j0
pre_bfly12(136)=0+j0, index2_re(136)=7, index2_im(136)=7, bfly12(136)=0+j0
pre_bfly12(137)=-131072+j0, index2_re(137)=7, index2_im(137)=7, bfly12(137)=-2048+j0
pre_bfly12(138)=0+j0, index2_re(138)=7, index2_im(138)=7, bfly12(138)=0+j0
pre_bfly12(139)=0+j0, index2_re(139)=7, index2_im(139)=7, bfly12(139)=0+j0
pre_bfly12(140)=0+j0, index2_re(140)=7, index2_im(140)=7, bfly12(140)=0+j0
pre_bfly12(141)=0+j0, index2_re(141)=7, index2_im(141)=7, bfly12(141)=0+j0
pre_bfly12(142)=0+j0, index2_re(142)=7, index2_im(142)=7, bfly12(142)=0+j0
pre_bfly12(143)=0+j0, index2_re(143)=7, index2_im(143)=7, bfly12(143)=0+j0
pre_bfly12(144)=0+j0, index2_re(144)=7, index2_im(144)=7, bfly12(144)=0+j0
pre_bfly12(145)=-131072+j0, index2_re(145)=7, index2_im(145)=7, bfly12(145)=-2048+j0
pre_bfly12(146)=0+j0, index2_re(146)=7, index2_im(146)=7, bfly12(146)=0+j0
pre_bfly12(147)=0+j0, index2_re(147)=7, index2_im(147)=7, bfly12(147)=0+j0
pre_bfly12(148)=0+j0, index2_re(148)=7, index2_im(148)=7, bfly12(148)=0+j0
pre_bfly12(149)=0+j0, index2_re(149)=7, index2_im(149)=7, bfly12(149)=0+j0
pre_bfly12(150)=0+j0, index2_re(150)=7, index2_im(150)=7, bfly12(150)=0+j0
pre_bfly12(151)=0+j0, index2_re(151)=7, index2_im(151)=7, bfly12(151)=0+j0
pre_bfly12(152)=0+j0, index2_re(152)=7, index2_im(152)=7, bfly12(152)=0+j0
pre_bfly12(153)=-131072+j0, index2_re(153)=7, index2_im(153)=7, bfly12(153)=-2048+j0
pre_bfly12(154)=0+j0, index2_re(154)=7, index2_im(154)=7, bfly12(154)=0+j0
pre_bfly12(155)=0+j0, index2_re(155)=7, index2_im(155)=7, bfly12(155)=0+j0
pre_bfly12(156)=0+j0, index2_re(156)=7, index2_im(156)=7, bfly12(156)=0+j0
pre_bfly12(157)=0+j0, index2_re(157)=7, index2_im(157)=7, bfly12(157)=0+j0
pre_bfly12(158)=0+j0, index2_re(158)=7, index2_im(158)=7, bfly12(158)=0+j0
pre_bfly12(159)=0+j0, index2_re(159)=7, index2_im(159)=7, bfly12(159)=0+j0
pre_bfly12(160)=0+j0, index2_re(160)=7, index2_im(160)=7, bfly12(160)=0+j0
pre_bfly12(161)=-131072+j0, index2_re(161)=7, index2_im(161)=7, bfly12(161)=-2048+j0
pre_bfly12(162)=0+j0, index2_re(162)=7, index2_im(162)=7, bfly12(162)=0+j0
pre_bfly12(163)=0+j0, index2_re(163)=7, index2_im(163)=7, bfly12(163)=0+j0
pre_bfly12(164)=0+j0, index2_re(164)=7, index2_im(164)=7, bfly12(164)=0+j0
pre_bfly12(165)=0+j0, index2_re(165)=7, index2_im(165)=7, bfly12(165)=0+j0
pre_bfly12(166)=0+j0, index2_re(166)=7, index2_im(166)=7, bfly12(166)=0+j0
