Index	Real	Imag	Magnitude
1	-1	0	1.000000
2	4091	-6	4091.004400
3	-1	0	1.000000
4	2	-1	2.236068
5	-1	0	1.000000
6	2	-1	2.236068
7	-1	0	1.000000
8	-3	-4	5.000000
9	-1	0	1.000000
10	-4	0	4.000000
11	-1	0	1.000000
12	-1	-1	1.414214
13	-1	0	1.000000
14	3	-1	3.162278
15	-1	0	1.000000
16	3	1	3.162278
17	-1	0	1.000000
18	-1	0	1.000000
19	-1	0	1.000000
20	-1	-1	1.414214
21	-1	0	1.000000
22	-2	-1	2.236068
23	-1	0	1.000000
24	2	-1	2.236068
25	-1	0	1.000000
26	-1	0	1.000000
27	-1	0	1.000000
28	-4	-1	4.123106
29	-1	0	1.000000
30	-1	0	1.000000
31	-1	0	1.000000
32	0	0	0.000000
33	-1	0	1.000000
34	-4	0	4.000000
35	-1	0	1.000000
36	-4	-2	4.472136
37	-1	0	1.000000
38	-3	-1	3.162278
39	-1	0	1.000000
40	-1	0	1.000000
41	-1	0	1.000000
42	-1	-1	1.414214
43	-1	0	1.000000
44	0	1	1.000000
45	-1	0	1.000000
46	-2	1	2.236068
47	-1	0	1.000000
48	-5	-1	5.099020
49	-1	0	1.000000
50	-3	0	3.000000
51	-1	0	1.000000
52	-2	0	2.000000
53	-1	0	1.000000
54	0	-1	1.000000
55	-1	0	1.000000
56	0	-3	3.000000
57	-1	0	1.000000
58	1	0	1.000000
59	-1	0	1.000000
60	-1	-1	1.414214
61	-1	0	1.000000
62	1	0	1.000000
63	-1	0	1.000000
64	0	-10	10.000000
65	-1	0	1.000000
66	-1	-2	2.236068
67	-1	0	1.000000
68	-1	-1	1.414214
69	-1	0	1.000000
70	-1	0	1.000000
71	-1	0	1.000000
72	4	0	4.000000
73	-1	0	1.000000
74	-1	0	1.000000
75	-1	0	1.000000
76	1	0	1.000000
77	-1	0	1.000000
78	1	0	1.000000
79	-1	0	1.000000
80	-4	2	4.472136
81	-1	0	1.000000
82	-6	0	6.000000
83	-1	0	1.000000
84	-3	0	3.000000
85	-1	0	1.000000
86	-3	-1	3.162278
87	-1	0	1.000000
88	-6	0	6.000000
89	-1	0	1.000000
90	-5	-2	5.385165
91	-1	0	1.000000
92	-2	-1	2.236068
93	-1	0	1.000000
94	1	-1	1.414214
95	-1	0	1.000000
96	3	-1	3.162278
97	-1	0	1.000000
98	2	-2	2.828427
99	-1	0	1.000000
100	1	1	1.414214
101	-1	0	1.000000
102	-1	-1	1.414214
103	-1	0	1.000000
104	-5	-3	5.830952
105	-1	0	1.000000
106	1	-1	1.414214
107	-1	0	1.000000
108	-1	-1	1.414214
109	-1	0	1.000000
110	3	0	3.000000
111	-1	0	1.000000
112	-6	0	6.000000
113	-1	0	1.000000
114	3	-1	3.162278
115	-1	0	1.000000
116	-5	-1	5.099020
117	-1	0	1.000000
118	4	0	4.000000
119	-1	0	1.000000
120	0	-1	1.000000
121	-1	0	1.000000
122	3	0	3.000000
123	-1	0	1.000000
124	2	0	2.000000
125	-1	0	1.000000
126	-3	0	3.000000
127	-1	0	1.000000
128	-2	1	2.236068
129	-1	0	1.000000
130	-4	-1	4.123106
131	-1	0	1.000000
132	-1	-1	1.414214
133	-1	0	1.000000
134	-4	-1	4.123106
135	-1	0	1.000000
136	1	-1	1.414214
137	-1	0	1.000000
138	1	-2	2.236068
139	-1	0	1.000000
140	-4	0	4.000000
141	-1	0	1.000000
142	2	-1	2.236068
143	-1	0	1.000000
144	3	-2	3.605551
145	-1	0	1.000000
146	-5	0	5.000000
147	-1	0	1.000000
148	0	0	0.000000
149	-1	0	1.000000
150	-2	-1	2.236068
151	-1	0	1.000000
152	-1	0	1.000000
153	-1	0	1.000000
154	3	-1	3.162278
155	-1	0	1.000000
156	0	0	0.000000
157	-1	0	1.000000
158	0	0	0.000000
159	-1	0	1.000000
160	2	1	2.236068
161	-1	0	1.000000
162	-2	-1	2.236068
163	-1	0	1.000000
164	-1	0	1.000000
165	-1	0	1.000000
166	-1	0	1.000000
167	-1	0	1.000000
168	-2	-1	2.236068
169	-1	0	1.000000
